word,translation,count
de,of,14459520
que,what,14421005
no,no,12379505
a,to,9549646
la,the,9125471
el,he,7531226
y,and,7128745
es,is,6993497
en,in,6817324
lo,the,6041793
un,a,5605577
por,by,4454673
qué,what,4166708
me,I,3927712
una,a,3846322
los,the,3069193
se,I know,3058120
te,tea,3034375
con,with,3028045
para,for,2832100
está,this,2433246
mi,me,2403204
pero,but,2369484
sí,yes,2350514
si,yes,2348665
bien,good,2045290
eso,that,2029720
su,his,2005512
las,the,2001203
yo,me,1915934
del,of the,1647872
como,as,1630651
aquí,here,1625090
tu,you,1618746
al,to the,1549489
más,plus,1503527
le,you,1432173
esto,this,1297847
todo,everything,1296897
ya,already,1115265
estoy,I am,1092574
ahora,now,1088174
muy,very,1086248
ha,he has,1071928
esta,this,1051900
así,So,1050332
vamos,we go,1049315
algo,something,1039192
hay,there is,1014288
bueno,Okay,1012700
tengo,I have,954371
él,he,931487
cuando,when,931329
estás,these,917354
sé,I know,911639
tú,you,906053
nos,us,866968
nada,nothing,863844
cómo,how,862349
este,this,858931
o,or,843972
he,I,820376
ser,to be,819688
tiene,has,807065
puedo,may l,806048
ella,she,800671
quiero,I want,798831
hacer,do,794408
fue,was,781449
gracias,thanks,779503
vez,time,767227
era,was,765725
soy,I am,745166
sólo,alone,741588
todos,everyone,686692
porque,why,685059
son,are,671394
tienes,you have,670767
creo,I believe,651433
voy,I go,639418
sabes,you know,636739
estaba,I was,636659
puede,can,631326
eres,you are,630024
ese,that,624205
usted,you,618844
entonces,so,609938
hola,Hello,601523
solo,alone,590343
verdad,truth,589565
casa,House,587832
tan,so,573916
quién,who,566465
sus,their,562087
tiempo,weather,556996
dos,two,556427
esa,that,553442
nunca,never,549997
dónde,where,539643
va,goes,535397
oh,oh,532776
favor,favor,527629
mucho,much,516361
mí,me,515655
quieres,you want,515465
siento,sorry,512907
señor,Sir,507728
mejor,best,500478
hace,make,495352
has,you,492533
decir,say,492098
también,as well,488057
sobre,on,478020
dios,God,476939
sin,without,474770
tenemos,we have,473895
están,is it so,471887
ti,you,470358
puedes,can,463318
ver,see,462775
hombre,man,460084
vida,lifetime,453649
alguien,someone,447141
cosas,stuff,424801
siempre,forever,424363
hasta,until,423321
ahí,there,422871
ir,to go,411198
años,years,408547
antes,before,405555
estar,to be,402369
ni,neither,401980
poco,little bit,397739
día,day,395131
uno,one,393047
noche,night,391078
hecho,done,391011
mis,my,385798
estamos,we're,376563
otra,other,368984
acuerdo,agreement,367329
trabajo,job,363747
nosotros,U.S,357836
parece,It seems,355615
gente,people,354586
sea,be,352790
padre,father,351051
mira,look,349779
mismo,same,347834
dijo,said,342900
nadie,nobody,339772
quiere,wants,332148
podría,might,329332
hablar,talk,327201
vas,you go,327127
ellos,they,323892
sr.,Mr.,321637
tal,such,317926
pasa,pass,315529
fuera,outside,311571
después,then,311500
han,They have,308501
desde,since,303620
dinero,money,300518
mundo,world,298208
claro,Clear,296584
momento,moment,294559
les,them,294439
tener,to have,292932
estado,state,292015
otro,other,290565
había,there were,289157
mañana,tomorrow,283391
tenía,I had,282966
madre,mother,281646
vale,OK,280447
lugar,place,280315
haciendo,doing,278317
donde,where,277524
seguro,sure,277231
sabe,knows,273895
podemos,we can,272425
tus,your,271677
espera,wait,270741
nuevo,new,269895
sido,been,269505
cosa,thing,269054
hijo,son,267856
allí,there,267215
menos,less,263837
tipo,type,262340
amigo,friend,258356
gran,great,257648
nuestro,our,254046
mujer,woman,249627
mamá,mother,247700
luego,then,245811
papá,father,243251
días,days,243003
dice,He says,240795
hoy,today,240395
tres,three,239782
buena,good,238330
necesito,needed,237654
dije,said,235936
oye,hears,234324
gusta,like,233367
quería,wanted to,230602
será,be,230159
haber,to have,229602
parte,part,229038
todas,all,227146
crees,think,225748
buen,good,224802
conmigo,with me,224527
nombre,Name,222406
mierda,shit,221567
nuestra,our,221503
mal,wrong,220024
debe,should,218223
realmente,Really,217847
estas,these,216844
aún,yet,215129
mío,Own,212096
toda,all,211746
hacerlo,do what,209901
cada,each,209674
visto,viewed,206949
importa,matters,203118
contigo,with you,202208
tienen,they have,200708
hemos,we have,200028
razón,reason,198832
alguna,any,198263
tanto,so much,197519
saber,to know,196610
hizo,did,196192
veces,times,195756
serio,I laughed,194846
ven,come,193452
idea,idea,193369
eh,Hey,193299
tarde,late,191883
problema,problem,189963
hora,time,189851
cierto,true,189653
dicho,saying,187895
quien,who,187133
demasiado,too,182668
amor,love,182326
entre,between,181114
ve,go,179427
pasado,past,178763
familia,family,177748
estos,these,176532
policía,policeman,175471
debería,should,175394
ustedes,your,174241
chica,girl,173210
esos,those,171237
chicos,Boys,170008
cuenta,bill,169714
haces,do,166985
todavía,still,166624
salir,go out,165591
algún,some,163790
vaya,go,162833
unos,some,162525
veo,I see,162326
amigos,friends,160684
hermano,brother,159678
